============================================================
  MedGemma GGUF Evaluation Report
  Majority-Vote Methodology (5 runs per image)
============================================================

Model : medgemma-1.5-4b-it-Q4_K_M.gguf
MMProj: mmproj-BF16.gguf
Prompt: Is this chest X-ray normal or abnormal? Answer with: NORMAL or ABNORMAL, then confidence percentage.
Params: temperature=1.0, min_p=0.2
Runs per image: 5
Test set: 200 samples (Tawsifurrahman independent)

------------------------------------------------------------
  Base Model: 84.0%
------------------------------------------------------------
  Sensitivity: 73.0%  |  Specificity: 95.0%
  PPV: 93.6%  |  NPV: 77.9%  |  F1: 0.820
  img_0029.png              GT=TB     Pred=NORMAL [FAIL]  Vote=NORMAL   (5/5)  Conf=99%  Runs=[NORMAL/NORMAL/NORMAL/NORMAL/NORMAL]
  img_0030.png              GT=NORMAL Pred=NORMAL [OK]  Vote=NORMAL   (5/5)  Conf=97%  Runs=[NORMAL/NORMAL/NORMAL/NORMAL/NORMAL]
  img_0031.png              GT=TB     Pred=TB     [OK]  Vote=ABNORMAL (5/5)  Conf=90%  Runs=[ABNORMAL/ABNORMAL/ABNORMAL/ABNORMAL/ABNORMAL]
  img_0032.png              GT=NORMAL Pred=NORMAL [OK]  Vote=NORMAL   (5/5)  Conf=100%  Runs=[NORMAL/NORMAL/NORMAL/NORMAL/NORMAL]
  img_0033.png              GT=NORMAL Pred=NORMAL [OK]  Vote=NORMAL   (5/5)  Conf=100%  Runs=[NORMAL/NORMAL/NORMAL/NORMAL/NORMAL]
  img_0034.png              GT=TB     Pred=NORMAL [FAIL]  Vote=NORMAL   (5/5)  Conf=98%  Runs=[NORMAL/NORMAL/NORMAL/NORMAL/NORMAL]
  img_0035.png              GT=TB     Pred=TB     [OK]  Vote=ABNORMAL (5/5)  Conf=75%  Runs=[ABNORMAL/ABNORMAL/ABNORMAL/ABNORMAL/ABNORMAL]
  img_0036.png              GT=TB     Pred=NORMAL [FAIL]  Vote=NORMAL   (5/5)  Conf=99%  Runs=[NORMAL/NORMAL/NORMAL/NORMAL/NORMAL]
  img_0037.png              GT=TB     Pred=TB     [OK]  Vote=ABNORMAL (5/5)  Conf=78%  Runs=[ABNORMAL/ABNORMAL/ABNORMAL/ABNORMAL/ABNORMAL]
  img_0038.png              GT=NORMAL Pred=NORMAL [OK]  Vote=NORMAL   (5/5)  Conf=100%  Runs=[NORMAL/NORMAL/NORMAL/NORMAL/NORMAL]
  img_0039.png              GT=TB     Pred=TB     [OK]  Vote=ABNORMAL (5/5)  Conf=96%  Runs=[ABNORMAL/ABNORMAL/ABNORMAL/ABNORMAL/ABNORMAL]
  img_0040.png              GT=TB     Pred=TB     [OK]  Vote=ABNORMAL (5/5)  Conf=93%  Runs=[ABNORMAL/ABNORMAL/ABNORMAL/ABNORMAL/ABNORMAL]
  img_0041.png              GT=NORMAL Pred=NORMAL [OK]  Vote=NORMAL   (5/5)  Conf=98%  Runs=[NORMAL/NORMAL/NORMAL/NORMAL/NORMAL]
  img_0042.png              GT=TB     Pred=TB     [OK]  Vote=ABNORMAL (5/5)  Conf=80%  Runs=[ABNORMAL/ABNORMAL/ABNORMAL/ABNORMAL/ABNORMAL]
  img_0043.png              GT=TB     Pred=NORMAL [FAIL]  Vote=NORMAL   (5/5)  Conf=100%  Runs=[NORMAL/NORMAL/NORMAL/NORMAL/NORMAL]
  img_0044.png              GT=TB     Pred=NORMAL [FAIL]  Vote=NORMAL   (5/5)  Conf=98%  Runs=[NORMAL/NORMAL/NORMAL/NORMAL/NORMAL]
  img_0045.png              GT=NORMAL Pred=NORMAL [OK]  Vote=NORMAL   (5/5)  Conf=100%  Runs=[NORMAL/NORMAL/NORMAL/NORMAL/NORMAL]
  img_0046.png              GT=TB     Pred=TB     [OK]  Vote=ABNORMAL (5/5)  Conf=72%  Runs=[ABNORMAL/ABNORMAL/ABNORMAL/ABNORMAL/ABNORMAL]
  img_0047.png              GT=TB     Pred=TB     [OK]  Vote=ABNORMAL (5/5)  Conf=71%  Runs=[ABNORMAL/ABNORMAL/ABNORMAL/ABNORMAL/ABNORMAL]
  img_0048.png              GT=NORMAL Pred=NORMAL [OK]  Vote=NORMAL   (5/5)  Conf=100%  Runs=[NORMAL/NORMAL/NORMAL/NORMAL/NORMAL]
  img_0049.png              GT=TB     Pred=NORMAL [FAIL]  Vote=NORMAL   (5/5)  Conf=100%  Runs=[NORMAL/NORMAL/NORMAL/NORMAL/NORMAL]
  img_0050.png              GT=NORMAL Pred=NORMAL [OK]  Vote=NORMAL   (5/5)  Conf=100%  Runs=[NORMAL/NORMAL/NORMAL/NORMAL/NORMAL]
  img_0051.png              GT=TB     Pred=TB     [OK]  Vote=ABNORMAL (3/5)  Conf=92%  Runs=[NORMAL/ABNORMAL/NORMAL/ABNORMAL/ABNORMAL]
  img_0052.png              GT=NORMAL Pred=TB     [FAIL]  Vote=ABNORMAL (3/5)  Conf=92%  Runs=[ABNORMAL/ABNORMAL/NORMAL/ABNORMAL/NORMAL]
  img_0053.png              GT=TB     Pred=TB     [OK]  Vote=ABNORMAL (5/5)  Conf=91%  Runs=[ABNORMAL/ABNORMAL/ABNORMAL/ABNORMAL/ABNORMAL]
  img_0054.png              GT=TB     Pred=TB     [OK]  Vote=ABNORMAL (5/5)  Conf=93%  Runs=[ABNORMAL/ABNORMAL/ABNORMAL/ABNORMAL/ABNORMAL]
  img_0055.png              GT=NORMAL Pred=NORMAL [OK]  Vote=NORMAL   (5/5)  Conf=100%  Runs=[NORMAL/NORMAL/NORMAL/NORMAL/NORMAL]
  img_0056.png              GT=TB     Pred=TB     [OK]  Vote=ABNORMAL (5/5)  Conf=88%  Runs=[ABNORMAL/ABNORMAL/ABNORMAL/ABNORMAL/ABNORMAL]
  img_0057.png              GT=NORMAL Pred=NORMAL [OK]  Vote=NORMAL   (5/5)  Conf=98%  Runs=[NORMAL/NORMAL/NORMAL/NORMAL/NORMAL]
  img_0058.png              GT=NORMAL Pred=NORMAL [OK]  Vote=NORMAL   (5/5)  Conf=99%  Runs=[NORMAL/NORMAL/NORMAL/NORMAL/NORMAL]
  img_0059.png              GT=TB     Pred=NORMAL [FAIL]  Vote=NORMAL   (5/5)  Conf=98%  Runs=[NORMAL/NORMAL/NORMAL/NORMAL/NORMAL]
  img_0060.png              GT=NORMAL Pred=TB     [FAIL]  Vote=ABNORMAL (5/5)  Conf=68%  Runs=[ABNORMAL/ABNORMAL/ABNORMAL/ABNORMAL/ABNORMAL]
  img_0061.png              GT=NORMAL Pred=NORMAL [OK]  Vote=NORMAL   (5/5)  Conf=98%  Runs=[NORMAL/NORMAL/NORMAL/NORMAL/NORMAL]
  img_0062.png              GT=NORMAL Pred=NORMAL [OK]  Vote=NORMAL   (5/5)  Conf=98%  Runs=[NORMAL/NORMAL/NORMAL/NORMAL/NORMAL]
  img_0063.png              GT=TB     Pred=TB     [OK]  Vote=ABNORMAL (5/5)  Conf=85%  Runs=[ABNORMAL/ABNORMAL/ABNORMAL/ABNORMAL/ABNORMAL]
  img_0064.png              GT=TB     Pred=NORMAL [FAIL]  Vote=NORMAL   (5/5)  Conf=99%  Runs=[NORMAL/NORMAL/NORMAL/NORMAL/NORMAL]
  img_0065.png              GT=TB     Pred=TB     [OK]  Vote=ABNORMAL (5/5)  Conf=92%  Runs=[ABNORMAL/ABNORMAL/ABNORMAL/ABNORMAL/ABNORMAL]
  img_0066.png              GT=NORMAL Pred=NORMAL [OK]  Vote=NORMAL   (5/5)  Conf=98%  Runs=[NORMAL/NORMAL/NORMAL/NORMAL/NORMAL]
  img_0067.png              GT=NORMAL Pred=NORMAL [OK]  Vote=NORMAL   (5/5)  Conf=99%  Runs=[NORMAL/NORMAL/NORMAL/NORMAL/NORMAL]
  img_0068.png              GT=NORMAL Pred=NORMAL [OK]  Vote=NORMAL   (5/5)  Conf=100%  Runs=[NORMAL/NORMAL/NORMAL/NORMAL/NORMAL]
  img_0069.png              GT=NORMAL Pred=NORMAL [OK]  Vote=NORMAL   (5/5)  Conf=100%  Runs=[NORMAL/NORMAL/NORMAL/NORMAL/NORMAL]
  img_0070.png              GT=NORMAL Pred=NORMAL [OK]  Vote=NORMAL   (5/5)  Conf=100%  Runs=[NORMAL/NORMAL/NORMAL/NORMAL/NORMAL]
  img_0071.png              GT=NORMAL Pred=NORMAL [OK]  Vote=NORMAL   (5/5)  Conf=100%  Runs=[NORMAL/NORMAL/NORMAL/NORMAL/NORMAL]
  img_0072.png              GT=NORMAL Pred=NORMAL [OK]  Vote=NORMAL   (5/5)  Conf=100%  Runs=[NORMAL/NORMAL/NORMAL/NORMAL/NORMAL]
  img_0073.png              GT=NORMAL Pred=NORMAL [OK]  Vote=NORMAL   (5/5)  Conf=98%  Runs=[NORMAL/NORMAL/NORMAL/NORMAL/NORMAL]
  img_0074.png              GT=TB     Pred=NORMAL [FAIL]  Vote=NORMAL   (5/5)  Conf=100%  Runs=[NORMAL/NORMAL/NORMAL/NORMAL/NORMAL]
  img_0075.png              GT=TB     Pred=TB     [OK]  Vote=ABNORMAL (5/5)  Conf=93%  Runs=[ABNORMAL/ABNORMAL/ABNORMAL/ABNORMAL/ABNORMAL]
  img_0076.png              GT=NORMAL Pred=NORMAL [OK]  Vote=NORMAL   (5/5)  Conf=100%  Runs=[NORMAL/NORMAL/NORMAL/NORMAL/NORMAL]
  img_0077.png              GT=NORMAL Pred=NORMAL [OK]  Vote=NORMAL   (5/5)  Conf=99%  Runs=[NORMAL/NORMAL/NORMAL/NORMAL/NORMAL]
  img_0078.png              GT=TB     Pred=NORMAL [FAIL]  Vote=NORMAL   (5/5)  Conf=100%  Runs=[NORMAL/NORMAL/NORMAL/NORMAL/NORMAL]
  img_0079.png              GT=TB     Pred=TB     [OK]  Vote=ABNORMAL (5/5)  Conf=95%  Runs=[ABNORMAL/ABNORMAL/ABNORMAL/ABNORMAL/ABNORMAL]
  img_0080.png              GT=TB     Pred=TB     [OK]  Vote=ABNORMAL (5/5)  Conf=92%  Runs=[ABNORMAL/ABNORMAL/ABNORMAL/ABNORMAL/ABNORMAL]
  img_0081.png              GT=NORMAL Pred=NORMAL [OK]  Vote=NORMAL   (5/5)  Conf=99%  Runs=[NORMAL/NORMAL/NORMAL/NORMAL/NORMAL]
  img_0082.png              GT=NORMAL Pred=NORMAL [OK]  Vote=NORMAL   (5/5)  Conf=99%  Runs=[NORMAL/NORMAL/NORMAL/NORMAL/NORMAL]
  img_0083.png              GT=NORMAL Pred=NORMAL [OK]  Vote=NORMAL   (5/5)  Conf=99%  Runs=[NORMAL/NORMAL/NORMAL/NORMAL/NORMAL]
  img_0084.png              GT=TB     Pred=TB     [OK]  Vote=ABNORMAL (5/5)  Conf=73%  Runs=[ABNORMAL/ABNORMAL/ABNORMAL/ABNORMAL/ABNORMAL]
  img_0085.png              GT=NORMAL Pred=NORMAL [OK]  Vote=NORMAL   (5/5)  Conf=99%  Runs=[NORMAL/NORMAL/NORMAL/NORMAL/NORMAL]
  img_0086.png              GT=NORMAL Pred=NORMAL [OK]  Vote=NORMAL   (5/5)  Conf=99%  Runs=[NORMAL/NORMAL/NORMAL/NORMAL/NORMAL]
  img_0087.png              GT=TB     Pred=TB     [OK]  Vote=ABNORMAL (5/5)  Conf=91%  Runs=[ABNORMAL/ABNORMAL/ABNORMAL/ABNORMAL/ABNORMAL]
  img_0088.png              GT=TB     Pred=TB     [OK]  Vote=ABNORMAL (5/5)  Conf=77%  Runs=[ABNORMAL/ABNORMAL/ABNORMAL/ABNORMAL/ABNORMAL]
  img_0089.png              GT=TB     Pred=TB     [OK]  Vote=ABNORMAL (5/5)  Conf=88%  Runs=[ABNORMAL/ABNORMAL/ABNORMAL/ABNORMAL/ABNORMAL]
  img_0090.png              GT=TB     Pred=TB     [OK]  Vote=ABNORMAL (5/5)  Conf=83%  Runs=[ABNORMAL/ABNORMAL/ABNORMAL/ABNORMAL/ABNORMAL]
  img_0091.png              GT=TB     Pred=TB     [OK]  Vote=ABNORMAL (5/5)  Conf=88%  Runs=[ABNORMAL/ABNORMAL/ABNORMAL/ABNORMAL/ABNORMAL]
  img_0092.png              GT=NORMAL Pred=NORMAL [OK]  Vote=NORMAL   (5/5)  Conf=99%  Runs=[NORMAL/NORMAL/NORMAL/NORMAL/NORMAL]
  img_0093.png              GT=NORMAL Pred=NORMAL [OK]  Vote=NORMAL   (5/5)  Conf=100%  Runs=[NORMAL/NORMAL/NORMAL/NORMAL/NORMAL]
  img_0094.png              GT=TB     Pred=NORMAL [FAIL]  Vote=NORMAL   (5/5)  Conf=98%  Runs=[NORMAL/NORMAL/NORMAL/NORMAL/NORMAL]
  img_0095.png              GT=TB     Pred=TB     [OK]  Vote=ABNORMAL (5/5)  Conf=76%  Runs=[ABNORMAL/ABNORMAL/ABNORMAL/ABNORMAL/ABNORMAL]
  img_0096.png              GT=NORMAL Pred=NORMAL [OK]  Vote=NORMAL   (5/5)  Conf=98%  Runs=[NORMAL/NORMAL/NORMAL/NORMAL/NORMAL]
  img_0097.png              GT=TB     Pred=TB     [OK]  Vote=ABNORMAL (5/5)  Conf=88%  Runs=[ABNORMAL/ABNORMAL/ABNORMAL/ABNORMAL/ABNORMAL]
  img_0098.png              GT=NORMAL Pred=NORMAL [OK]  Vote=NORMAL   (5/5)  Conf=100%  Runs=[NORMAL/NORMAL/NORMAL/NORMAL/NORMAL]
  img_0099.png              GT=NORMAL Pred=NORMAL [OK]  Vote=NORMAL   (5/5)  Conf=100%  Runs=[NORMAL/NORMAL/NORMAL/NORMAL/NORMAL]
  img_0100.png              GT=TB     Pred=TB     [OK]  Vote=ABNORMAL (5/5)  Conf=73%  Runs=[ABNORMAL/ABNORMAL/ABNORMAL/ABNORMAL/ABNORMAL]
  img_0101.png              GT=TB     Pred=NORMAL [FAIL]  Vote=NORMAL   (5/5)  Conf=99%  Runs=[NORMAL/NORMAL/NORMAL/NORMAL/NORMAL]
  img_0102.png              GT=NORMAL Pred=NORMAL [OK]  Vote=NORMAL   (5/5)  Conf=99%  Runs=[NORMAL/NORMAL/NORMAL/NORMAL/NORMAL]
  img_0103.png              GT=TB     Pred=TB     [OK]  Vote=ABNORMAL (5/5)  Conf=78%  Runs=[ABNORMAL/ABNORMAL/ABNORMAL/ABNORMAL/ABNORMAL]
  img_0104.png              GT=TB     Pred=TB     [OK]  Vote=ABNORMAL (5/5)  Conf=95%  Runs=[ABNORMAL/ABNORMAL/ABNORMAL/ABNORMAL/ABNORMAL]
  img_0105.png              GT=TB     Pred=TB     [OK]  Vote=ABNORMAL (5/5)  Conf=85%  Runs=[ABNORMAL/ABNORMAL/ABNORMAL/ABNORMAL/ABNORMAL]
  img_0106.png              GT=NORMAL Pred=NORMAL [OK]  Vote=NORMAL   (5/5)  Conf=100%  Runs=[NORMAL/NORMAL/NORMAL/NORMAL/NORMAL]
  img_0107.png              GT=NORMAL Pred=NORMAL [OK]  Vote=NORMAL   (5/5)  Conf=100%  Runs=[NORMAL/NORMAL/NORMAL/NORMAL/NORMAL]
  img_0108.png              GT=NORMAL Pred=NORMAL [OK]  Vote=NORMAL   (5/5)  Conf=99%  Runs=[NORMAL/NORMAL/NORMAL/NORMAL/NORMAL]
  img_0109.png              GT=NORMAL Pred=NORMAL [OK]  Vote=NORMAL   (5/5)  Conf=100%  Runs=[NORMAL/NORMAL/NORMAL/NORMAL/NORMAL]
  img_0110.png              GT=TB     Pred=TB     [OK]  Vote=ABNORMAL (5/5)  Conf=95%  Runs=[ABNORMAL/ABNORMAL/ABNORMAL/ABNORMAL/ABNORMAL]
  img_0111.png              GT=NORMAL Pred=NORMAL [OK]  Vote=NORMAL   (5/5)  Conf=100%  Runs=[NORMAL/NORMAL/NORMAL/NORMAL/NORMAL]
  img_0112.png              GT=TB     Pred=NORMAL [FAIL]  Vote=NORMAL   (5/5)  Conf=100%  Runs=[NORMAL/NORMAL/NORMAL/NORMAL/NORMAL]
  img_0113.png              GT=NORMAL Pred=NORMAL [OK]  Vote=NORMAL   (5/5)  Conf=98%  Runs=[NORMAL/NORMAL/NORMAL/NORMAL/NORMAL]
  img_0114.png              GT=TB     Pred=TB     [OK]  Vote=ABNORMAL (5/5)  Conf=92%  Runs=[ABNORMAL/ABNORMAL/ABNORMAL/ABNORMAL/ABNORMAL]
  img_0115.png              GT=NORMAL Pred=NORMAL [OK]  Vote=NORMAL   (5/5)  Conf=100%  Runs=[NORMAL/NORMAL/NORMAL/NORMAL/NORMAL]
  img_0116.png              GT=NORMAL Pred=NORMAL [OK]  Vote=NORMAL   (5/5)  Conf=99%  Runs=[NORMAL/NORMAL/NORMAL/NORMAL/NORMAL]
  img_0117.png              GT=TB     Pred=TB     [OK]  Vote=ABNORMAL (5/5)  Conf=80%  Runs=[ABNORMAL/ABNORMAL/ABNORMAL/ABNORMAL/ABNORMAL]
  img_0118.png              GT=NORMAL Pred=NORMAL [OK]  Vote=NORMAL   (5/5)  Conf=100%  Runs=[NORMAL/NORMAL/NORMAL/NORMAL/NORMAL]
  img_0119.png              GT=TB     Pred=TB     [OK]  Vote=ABNORMAL (5/5)  Conf=93%  Runs=[ABNORMAL/ABNORMAL/ABNORMAL/ABNORMAL/ABNORMAL]
  img_0120.png              GT=TB     Pred=TB     [OK]  Vote=ABNORMAL (5/5)  Conf=78%  Runs=[ABNORMAL/ABNORMAL/ABNORMAL/ABNORMAL/ABNORMAL]
  img_0121.png              GT=TB     Pred=NORMAL [FAIL]  Vote=NORMAL   (5/5)  Conf=100%  Runs=[NORMAL/NORMAL/NORMAL/NORMAL/NORMAL]
  img_0122.png              GT=NORMAL Pred=NORMAL [OK]  Vote=NORMAL   (5/5)  Conf=98%  Runs=[NORMAL/NORMAL/NORMAL/NORMAL/NORMAL]
  img_0123.png              GT=TB     Pred=TB     [OK]  Vote=ABNORMAL (5/5)  Conf=90%  Runs=[ABNORMAL/ABNORMAL/ABNORMAL/ABNORMAL/ABNORMAL]
  img_0124.png              GT=TB     Pred=TB     [OK]  Vote=ABNORMAL (5/5)  Conf=77%  Runs=[ABNORMAL/ABNORMAL/ABNORMAL/ABNORMAL/ABNORMAL]
  img_0125.png              GT=NORMAL Pred=NORMAL [OK]  Vote=NORMAL   (5/5)  Conf=99%  Runs=[NORMAL/NORMAL/NORMAL/NORMAL/NORMAL]
  img_0126.png              GT=NORMAL Pred=NORMAL [OK]  Vote=NORMAL   (5/5)  Conf=100%  Runs=[NORMAL/NORMAL/NORMAL/NORMAL/NORMAL]
  img_0127.png              GT=TB     Pred=TB     [OK]  Vote=ABNORMAL (5/5)  Conf=74%  Runs=[ABNORMAL/ABNORMAL/ABNORMAL/ABNORMAL/ABNORMAL]
  img_0128.png              GT=TB     Pred=NORMAL [FAIL]  Vote=NORMAL   (5/5)  Conf=99%  Runs=[NORMAL/NORMAL/NORMAL/NORMAL/NORMAL]
  img_0129.png              GT=TB     Pred=NORMAL [FAIL]  Vote=NORMAL   (5/5)  Conf=100%  Runs=[NORMAL/NORMAL/NORMAL/NORMAL/NORMAL]
  img_0130.png              GT=NORMAL Pred=NORMAL [OK]  Vote=NORMAL   (5/5)  Conf=100%  Runs=[NORMAL/NORMAL/NORMAL/NORMAL/NORMAL]
  img_0131.png              GT=NORMAL Pred=NORMAL [OK]  Vote=NORMAL   (5/5)  Conf=100%  Runs=[NORMAL/NORMAL/NORMAL/NORMAL/NORMAL]
  img_0132.png              GT=NORMAL Pred=NORMAL [OK]  Vote=NORMAL   (5/5)  Conf=100%  Runs=[NORMAL/NORMAL/NORMAL/NORMAL/NORMAL]
  img_0133.png              GT=TB     Pred=NORMAL [FAIL]  Vote=NORMAL   (5/5)  Conf=99%  Runs=[NORMAL/NORMAL/NORMAL/NORMAL/NORMAL]
  img_0134.png              GT=TB     Pred=TB     [OK]  Vote=ABNORMAL (5/5)  Conf=78%  Runs=[ABNORMAL/ABNORMAL/ABNORMAL/ABNORMAL/ABNORMAL]
  img_0135.png              GT=TB     Pred=NORMAL [FAIL]  Vote=NORMAL   (5/5)  Conf=100%  Runs=[NORMAL/NORMAL/NORMAL/NORMAL/NORMAL]
  img_0136.png              GT=NORMAL Pred=NORMAL [OK]  Vote=NORMAL   (5/5)  Conf=99%  Runs=[NORMAL/NORMAL/NORMAL/NORMAL/NORMAL]
  img_0137.png              GT=NORMAL Pred=NORMAL [OK]  Vote=NORMAL   (5/5)  Conf=100%  Runs=[NORMAL/NORMAL/NORMAL/NORMAL/NORMAL]
  img_0138.png              GT=NORMAL Pred=NORMAL [OK]  Vote=NORMAL   (5/5)  Conf=100%  Runs=[NORMAL/NORMAL/NORMAL/NORMAL/NORMAL]
  img_0139.png              GT=TB     Pred=TB     [OK]  Vote=ABNORMAL (5/5)  Conf=82%  Runs=[ABNORMAL/ABNORMAL/ABNORMAL/ABNORMAL/ABNORMAL]
  img_0140.png              GT=TB     Pred=TB     [OK]  Vote=ABNORMAL (5/5)  Conf=78%  Runs=[ABNORMAL/ABNORMAL/ABNORMAL/ABNORMAL/ABNORMAL]
  img_0141.png              GT=NORMAL Pred=NORMAL [OK]  Vote=NORMAL   (5/5)  Conf=100%  Runs=[NORMAL/NORMAL/NORMAL/NORMAL/NORMAL]
  img_0142.png              GT=NORMAL Pred=NORMAL [OK]  Vote=NORMAL   (5/5)  Conf=100%  Runs=[NORMAL/NORMAL/NORMAL/NORMAL/NORMAL]
  img_0143.png              GT=TB     Pred=TB     [OK]  Vote=ABNORMAL (5/5)  Conf=96%  Runs=[ABNORMAL/ABNORMAL/ABNORMAL/ABNORMAL/ABNORMAL]
  img_0144.png              GT=TB     Pred=TB     [OK]  Vote=ABNORMAL (5/5)  Conf=88%  Runs=[ABNORMAL/ABNORMAL/ABNORMAL/ABNORMAL/ABNORMAL]
  img_0145.png              GT=TB     Pred=NORMAL [FAIL]  Vote=NORMAL   (3/5)  Conf=86%  Runs=[NORMAL/NORMAL/NORMAL/ABNORMAL/ABNORMAL]
  img_0146.png              GT=TB     Pred=TB     [OK]  Vote=ABNORMAL (5/5)  Conf=85%  Runs=[ABNORMAL/ABNORMAL/ABNORMAL/ABNORMAL/ABNORMAL]
